,2008년12월_총인구수,2009년12월_총인구수,2010년12월_총인구수,2011년12월_총인구수,2012년12월_총인구수,2013년12월_총인구수,2014년12월_총인구수,2015년12월_총인구수,2016년12월_총인구수,2017년12월_총인구수,행정구역
5,17933.0,17695.0,17857.0,17788.0,17785.0,17754.0,17590.0,17449.0,17354.0,17025.0,서울특별시 관악구 낙성대동(1162058500)
6,33819.0,33387.0,33924.0,33421.0,33076.0,32920.0,32478.0,29045.0,27979.0,28046.0,서울특별시 관악구 청룡동(1162059500)
7,37247.0,37046.0,37091.0,36448.0,36290.0,36027.0,35855.0,35861.0,35356.0,35305.0,서울특별시 관악구 은천동(1162060500)
8,14676.0,14428.0,14905.0,14865.0,14808.0,14769.0,14634.0,14795.0,14867.0,15068.0,서울특별시 관악구 중앙동(1162061500)
9,29191.0,28957.0,28788.0,28464.0,28439.0,28235.0,27864.0,27730.0,27640.0,27368.0,서울특별시 관악구 인헌동(1162062500)
10,17764.0,17735.0,17757.0,18008.0,18127.0,18123.0,18046.0,18307.0,18773.0,18805.0,서울특별시 관악구 남현동(1162063000)
11,24403.0,24158.0,24200.0,24005.0,23657.0,23525.0,23291.0,23241.0,23069.0,22761.0,서울특별시 관악구 서원동(1162064500)
12,20858.0,20431.0,20412.0,20008.0,19729.0,19215.0,18956.0,18928.0,18908.0,18687.0,서울특별시 관악구 신원동(1162065500)
13,25173.0,24756.0,24719.0,24846.0,24651.0,24457.0,24609.0,24851.0,24821.0,24541.0,서울특별시 관악구 서림동(1162066500)
14,25922.0,25740.0,25867.0,25213.0,25036.0,24697.0,24046.0,23611.0,23297.0,23089.0,서울특별시 관악구 신사동(1162068500)
15,17371.0,17642.0,18415.0,18838.0,19130.0,19177.0,19265.0,19625.0,20321.0,20578.0,서울특별시 관악구 신림동(1162069500)
16,18153.0,18166.0,18221.0,18009.0,17818.0,17578.0,17338.0,17113.0,16865.0,16752.0,서울특별시 관악구 난향동(1162071500)
17,17924.0,18140.0,18445.0,18226.0,18178.0,18267.0,17859.0,17950.0,18047.0,17820.0,서울특별시 관악구 조원동(1162072500)
18,23037.0,23029.0,23121.0,23083.0,23283.0,23205.0,23036.0,22958.0,23362.0,23509.0,서울특별시 관악구 대학동(1162073500)
19,31842.0,31198.0,30781.0,30061.0,29582.0,28940.0,28252.0,27978.0,27266.0,26647.0,서울특별시 관악구 삼성동(1162074500)
20,35502.0,35171.0,35026.0,34544.0,34330.0,33658.0,33268.0,33371.0,32942.0,32831.0,서울특별시 관악구 미성동(1162076500)
21,32812.0,32098.0,31918.0,31426.0,30971.0,30673.0,30406.0,30313.0,30003.0,29541.0,서울특별시 관악구 난곡동(1162077500)
